Airport_Name,Most_Frequent_Reason,Num_Cancellations
"Islip, NY: Long Island MacArthur",Carrier,1
"Ithaca/Cortland, NY: Ithaca Tompkins Regional",Weather,1
"Hilo, HI: Hilo International",Carrier,1
"Jackson, WY: Jackson Hole","National Air System",1
"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",Weather,1
"Lake Charles, LA: Lake Charles Regional",Weather,1
"Lafayette, LA: Lafayette Regional Paul Fournet Field",Carrier,1
"Lewisburg, WV: Greenbrier Valley",Weather,1
"Mission/McAllen/Edinburg, TX: McAllen Miller International",Carrier,1
"Montgomery, AL: Montgomery Regional",Weather,1
"Muskegon, MI: Muskegon County",Weather,1
"Mobile, AL: Mobile Regional",Carrier,1
"Minot, ND: Minot International",Weather,1
"Missoula, MT: Missoula International",Weather,1
"North Bend/Coos Bay, OR: Southwest Oregon Regional",Weather,1
"West Palm Beach/Palm Beach, FL: Palm Beach International",Weather,1
"Punta Gorda, FL: Punta Gorda Airport",Weather,1
"St. Petersburg, FL: St Pete Clearwater International",Carrier,1
"Pellston, MI: Pellston Regional Airport of Emmet County",Weather,1
"Prescott, AZ: Prescott Regional Ernest A Love Field",Weather,1
"Petersburg, AK: Petersburg James A Johnson",Carrier,1
"Portland, ME: Portland International Jetport",Weather,1
"Rhinelander, WI: Rhinelander/Oneida County",Weather,1
"Santa Fe, NM: Santa Fe Municipal",Weather,1
"Deadhorse, AK: Deadhorse Airport",Weather,1
"Shreveport, LA: Shreveport Regional",Weather,1
"Sitka, AK: Sitka Rocky Gutierrez",Carrier,1
"Sarasota/Bradenton, FL: Sarasota/Bradenton International",Carrier,1
"Charlotte Amalie, VI: Cyril E King",Carrier,1
"Stillwater, OK: Stillwater Regional",Carrier,1
"Twin Falls, ID: Joslin Field - Magic Valley Regional",Carrier,1
"Tyler, TX: Tyler Pounds Regional",Weather,1
"Wrangell, AK: Wrangell Airport",Carrier,1
